"id","thomas_id","api_uri","first_name","middle_name","last_name","party","twitter_account","facebook_account","facebook_id","url","rss_url","domain","dw_nominate","ideal_point","seniority","next_election","state","district","missed_votes_pct","votes_with_party_pct","chamber"
"B001271","2027","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001271.json","Dan",NA,"Benishek","R","CongressmanDan","CongressmanDan","124163654317596","http://benishek.house.gov","http://benishek.house.gov/rss.xml","benishek.house.gov","","","6","2014","MI","1","0.00","92.45","house"
"B001273","2063","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001273.json","Diane",NA,"Black","R","RepDianeBlack","DianeBlackTN06","186436274719648","http://black.house.gov","http://black.house.gov/rss.xml","black.house.gov","","","6","2014","TN","6","0.00","96.23","house"
"B001274","1987","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001274.json","Mo",NA,"Brooks","R","RepMoBrooks","155220881193244","155220881193244","http://brooks.house.gov","http://brooks.house.gov/rss/press-releases.xml","brooks.house.gov","","","6","2014","AL","5","0.00","94.34","house"
"B001275","2018","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001275.json","Larry",NA,"Bucshon","R","RepLarryBucshon","RepLarryBucshon","135670516492974","http://bucshon.house.gov","http://bucshon.house.gov/rss.xml","bucshon.house.gov","","","6","2014","IN","8","0.00","92.45","house"
"B001278","2092","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001278.json","Suzanne",NA,"Bonamici","D","RepBonamici","congresswomanbonamici","252633384817156","http://bonamici.house.gov","http://bonamici.house.gov/rss.xml","bonamici.house.gov","","","6","2014","OR","1","0.00","96.23","house"
"B001281","2153","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001281.json","Joyce",NA,"Beatty","D","RepBeatty","RepJoyceBeatty","","http://beatty.house.gov","http://beatty.house.gov/rss.xml","beatty.house.gov","","","4","2014","OH","3","0.00","96.23","house"
"B001282","2131","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001282.json","Andy",NA,"Barr","R","RepAndyBarr","RepAndyBarr","457461137635018","http://barr.house.gov","http://barr.house.gov/rss.xml","barr.house.gov","","","4","2014","KY","6","0.00","96.23","house"
"B001283","2155","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001283.json","Jim",NA,"Bridenstine","R","RepJBridenstine","CongressmanJimBridenstine","460003650715961","http://bridenstine.house.gov","http://bridenstine.house.gov/rss.xml","bridenstine.house.gov","","","4","2014","OK","1","0.00","94.34","house"
"B001284","2129","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001284.json","Susan",NA,"Brooks","R","SusanWBrooks","congresswomansusanwbrooks","517697358277175","http://susanwbrooks.house.gov","http://susanwbrooks.house.gov/rss.xml","susanwbrooks.house.gov","","","4","2014","IN","5","0.00","96.23","house"
"B001285","2106","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001285.json","Julia",NA,"Brownley","D","JuliaBrownley26","RepJuliaBrownley","330504617051234","http://juliabrownley.house.gov","http://juliabrownley.house.gov/rss.xml","juliabrownley.house.gov","","","4","2014","CA","26","5.66","84.00","house"
"B001286","2127","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001286.json","Cheri",NA,"Bustos","D","RepCheri","RepCheri","581909665168588","http://bustos.house.gov","http://bustos.house.gov/rss.xml","bustos.house.gov","","","4","2014","IL","17","0.00","81.13","house"
"B001287","2102","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001287.json","Ami",NA,"Bera","D","RepBera","RepAmiBera","528662157146886","http://bera.house.gov","http://bera.house.gov/rss.xml","bera.house.gov","","","4","2014","CA","7","5.66","78.00","house"
"B001289","2197","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001289.json","Bradley","","Byrne","R","RepByrne","RepByrne","","http://byrne.house.gov","http://byrne.house.gov/rss.xml","byrne.house.gov","","","4","2014","AL","1","0.00","96.23","house"
"C000059","165","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C000059.json","Ken",NA,"Calvert","R","KenCalvert","70063393423","","http://calvert.house.gov","http://calvert.house.gov/news/rss.aspx","calvert.house.gov","","","24","2014","CA","42","0.00","96.23","house"
"C000266","186","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C000266.json","Steven","J.","Chabot","R","RepSteveChabot","RepSteveChabot","204705339555378","http://chabot.house.gov","","chabot.house.gov","","","6","2014","OH","1","0.00","96.23","house"
"C000380","1474","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C000380.json","Donna","M.C.","Christensen","D","DelegateDonna","138013351189","138013351189","http://donnachristensen.house.gov","http://donnachristensen.house.gov/rss.xml","donnachristensen.house.gov","","","20","2014","VI","79",NA,NA,"house"
"C000537","208","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C000537.json","James","E.","Clyburn","D","Clyburn","jameseclyburn","127744320598870","http://clyburn.house.gov","http://clyburn.house.gov/rss.xml","clyburn.house.gov","","","24","2014","SC","6","1.89","90.38","house"
"C000714","229","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C000714.json","John",NA,"Conyers Jr.","D","RepJohnConyers","CongressmanConyers","206947066849","http://conyers.house.gov","http://conyers.house.gov/index.cfm/rss/feed","conyers.house.gov","","","52","2014","MI","13","0.00","96.23","house"
"C000754","231","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C000754.json","Jim",NA,"Cooper","D","RepJimCooper","JimCooper","","http://cooper.house.gov","http://cooper.house.gov/rss.xml","www.cooper.house.gov","","","14","2014","TN","5","0.00","90.57","house"
"C000984","256","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C000984.json","Elijah","E.","Cummings","D","RepCummings","elijahcummings","291368465380","http://cummings.house.gov","http://cummings.house.gov/rss.xml","cummings.house.gov","","","22","2014","MD","7","5.66","96.00","house"
"C001036","1471","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001036.json","Lois",NA,"Capps","D","RepLoisCapps","loiscapps","168989481141","http://capps.house.gov","http://capps.house.gov/rss.xml","capps.house.gov","","","20","2014","CA","24","1.89","96.15","house"
"C001037","1564","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001037.json","Michael","E.","Capuano","D","","RepMichaelCapuano","151168844937573","http://www.house.gov/capuano","","www.house.gov/capuano/","","","18","2014","MA","7","15.09","91.11","house"
"C001038","1604","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001038.json","Joseph","","Crowley","D","RepJoeCrowley","repjoecrowley","176197712425090","http://crowley.house.gov","http://crowley.house.gov/rss.xml","crowley.house.gov","","","18","2014","NY","14","14.58","97.56","house"
"C001045","1643","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001045.json","Ander",NA,"Crenshaw","R","AnderCrenshaw","200388204657","200388204657","http://crenshaw.house.gov","","crenshaw.house.gov","","","16","2014","FL","4","1.89","98.08","house"
"C001048","1670","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001048.json","John",NA,"Culberson","R","CongCulberson","CongressmanCulberson","1751723339","http://culberson.house.gov","","culberson.house.gov","","","16","2014","TX","7","0.00","94.34","house"
"C001049","1654","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001049.json","William","Lacy","Clay","D","LacyClayMO1","109135405838588","109135405838588","http://lacyclay.house.gov","http://lacyclay.house.gov/rss/press-releases.xml","lacyclay.house.gov","","","16","2014","MO","1","3.77","96.08","house"
"C001051","1752","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001051.json","John",NA,"Carter","R","JudgeCarter","judgecarter","1287257083","http://carter.house.gov","http://carter.house.gov/common/rss/?rss=40","carter.house.gov","","","14","2014","TX","31","25.64","100.00","house"
"C001053","1742","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001053.json","Tom","","Cole","R","TomColeOK04","TomColeOK04","146497782066300","http://cole.house.gov","http://cole.house.gov/rss.xml","cole.house.gov","","","14","2014","OK","4","3.77","96.08","house"
